dataset_name,dataset_version,experiment_fingerprint,topology_id,scenario_id,scenario_index,scenario_group_id,pair_id,source,destination,endpoint_pair_string,ranking_group_id,route_id,local_route_id,route_number,path_string,split,difficulty,hop_count,total_fibre_loss_db,maximum_link_loss_db,bottleneck_link_success_estimate,min_memory_requirement_margin,mean_reservation_occupancy_pre,fidelity_margin_estimate,deadline_margin_ms,route_degraded_link_fraction,route_contains_hotspot,effective_efficiency,coherence_time_s,feasible_label,success_probability,rollout_count,success_count,success_probability_wilson_lower,success_probability_wilson_upper
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01_route_01,route_01,1,R0 -> R1 -> R3 -> R7,train,hard,3,26.33851439189324,9.311595997133974,0.01699191521776925,6,0.0,0.0754474263310786,1.6559114824797239,1.0,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01_route_02,route_02,2,R0 -> R1 -> R4 -> R3 -> R7,train,hard,4,23.02505519451361,9.311595997133974,0.01699191521776925,6,0.0,3.7849248285537485e-06,1.485911482479724,0.5,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01_route_03,route_03,3,R0 -> R2 -> R5 -> R6 -> R7,train,hard,4,8.52,2.56,0.08042701162135547,1,0.125,3.7849248285537485e-06,1.4823293665530044,0.0,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01_route_04,route_04,4,R0 -> R2 -> R4 -> R3 -> R7,train,hard,4,16.591595997133975,9.311595997133974,0.01699191521776925,1,0.125,3.7849248285537485e-06,1.4559114824797237,0.25,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02_route_01,route_01,1,R0 -> R2 -> R5 -> R6,train,hard,3,6.31,2.56,0.08042701162135547,1,0.15625,0.0754474263310786,1.6423293665530043,0.0,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02_route_02,route_02,2,R0 -> R1 -> R4 -> R6,train,hard,3,14.743459197379634,8.513459197379634,0.02042001291567309,6,0.0,0.0754474263310786,1.6102553168811566,0.3333333333333333,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02_route_03,route_03,3,R0 -> R2 -> R4 -> R6,train,hard,3,8.31,3.23,0.0689289927382844,1,0.15625,0.0754474263310786,1.6102553168811566,0.0,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02_route_04,route_04,4,R0 -> R1 -> R4 -> R5 -> R6,train,hard,4,15.163459197379634,8.513459197379634,0.02042001291567309,6,0.0,3.7849248285537485e-06,1.5157914347275985,0.25,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03_route_01,route_01,1,R1 -> R3 -> R7,train,hard,2,17.82505519451361,9.311595997133974,0.01699191521776925,6,0.0,0.1590414888310786,1.7959114824797238,1.0,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03_route_02,route_02,2,R1 -> R4 -> R3 -> R7,train,hard,3,14.511595997133973,9.311595997133974,0.01699191521776925,6,0.0,0.0754474263310786,1.6359114824797238,0.3333333333333333,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
