Split,Metric,Estimate,95% CI low,95% CI high,Valid bootstrap replicates
Train nested OOF,Prevalence,0.5354166666666667,0.428125,0.640625,2000
Train nested OOF,Accuracy,0.840625,0.7833333333333333,0.8916927083333333,2000
Train nested OOF,Balanced accuracy,0.8369292107972292,0.7791760595147352,0.8882389487419636,2000
Train nested OOF,Precision,0.8264014466546112,0.7357132954845524,0.897825050291329,2000
Train nested OOF,Sensitivity,0.8891050583657587,0.8194704095266372,0.9451555404847556,2000
Train nested OOF,Specificity,0.7847533632286996,0.6814030028835636,0.8705882352941177,2000
Train nested OOF,F1,0.8566073102155577,0.7889506344851239,0.9100425935402305,2000
Train nested OOF,MCC,0.6800766736088502,0.5686897692486134,0.7796168393852654,2000
Train nested OOF,Brier score,0.10468398538986365,0.0773312111224198,0.13398794269709732,2000
Train nested OOF,ROC-AUC,0.9342796321823035,0.8941923296823615,0.963229544849893,2000
Train nested OOF,Average precision,0.9464003860214415,0.8997270634992138,0.9739685782113544,2000
Train nested OOF,Log loss,0.3166556015389446,0.24152718402344248,0.3962487654247973,2000
Validation,Prevalence,0.5541666666666667,0.35,0.7542708333333328,2000
Validation,Accuracy,0.9125,0.8291666666666667,0.9791666666666666,2000
Validation,Balanced accuracy,0.9164851380788419,0.8206270856507231,0.9804698866097638,2000
Validation,Precision,0.9590163934426229,0.8870932678821879,1.0,2000
Validation,Sensitivity,0.8796992481203008,0.6859069160504567,0.9908298206463344,2000
Validation,Specificity,0.9532710280373832,0.8484848484848485,1.0,2000
Validation,F1,0.9176470588235294,0.7942548550520687,0.9823147914032869,2000
Validation,MCC,0.8281829676434884,0.6651021904263765,0.954967746710259,2000
Validation,Brier score,0.0860790163626058,0.03306389490328997,0.14789727478623563,2000
Validation,ROC-AUC,0.9609303632914061,0.8937671679075234,0.9947380175780035,2000
Validation,Average precision,0.9720974767082081,0.8963122058914619,0.99711987269212,2000
Validation,Log loss,0.26968630377015645,0.11797009235573706,0.44599661718805267,2000
External test,Prevalence,0.66875,0.5207812500000001,0.7979166666666667,2000
External test,Accuracy,0.8729166666666667,0.8166666666666667,0.925,2000
External test,Balanced accuracy,0.8541997296185271,0.7623488246981295,0.9172517750020872,2000
External test,Precision,0.9012345679012346,0.8323681470577676,0.957964232889606,2000
External test,Sensitivity,0.9096573208722741,0.8378293918918919,0.9640630022500803,2000
External test,Specificity,0.7987421383647799,0.6015853658536586,0.9205027847820665,2000
External test,F1,0.9054263565891473,0.8516361761315874,0.946016810517268,2000
External test,MCC,0.711859843988742,0.5539396671600951,0.8335622583991522,2000
External test,Brier score,0.09547291396631664,0.06002837276599332,0.1308960560972564,2000
External test,ROC-AUC,0.9500382060777053,0.9009475111707085,0.9807593375253459,2000
External test,Average precision,0.9738799664635789,0.9441396519133911,0.9902221569449471,2000
External test,Log loss,0.29200048828059266,0.1930153753812665,0.3916990302279926,2000
